registroId,cod_est,raz_soc,subregion,red,microred,notifica,tipo,nivel,renaes,categoria,estado,insti_rn,ubigeo_rn
2152,010120A304,P.S. OQUISH,36,01,43,S,A,3,00007282,I-1,1,7,010120
2153,010121A301,P.S. SONCHE,36,01,11,S,A,3,00004884,I-1,1,7,010121
2154,010121A302,P.S. NUEVO OLMAL,36,01,11,S,A,3,00007421,I-1,1,7,010121
2295,010201A101,HOSPITAL GUSTAVO LANATTA LUJAN,36,02,98,S,A,1,00005044,II-1,1,7,010201
2296,010201A202,C.S. BAGUA,36,02,34,S,A,2,00006998,I-3,1,7,010201
9801,010201A203,CSMC BAGUA,36,02,34,N,A,2,00027434,I-3,1,7,010201
11251,010201A204,C.S. SAMU DE LA RED DE SALUD BAGUA,36,02,34,N,A,3,00027355,I-3,1,1,010201
2297,010201A302,P.S. ESPITAL,36,02,34,S,A,3,00005045,I-1,1,7,010201
2298,010201A305,P.S. CRUCE ALENYA,36,02,34,S,A,3,00005047,I-1,1,7,010201
2299,010201A307,P.S. TOMAQUE,36,02,34,S,A,3,00005048,I-1,1,7,010201
2300,010201A309,P.S. ACERILLO,36,02,34,S,A,3,00007007,I-1,1,7,010201
2301,010201A310,P.S. LA PRIMAVERA,36,02,34,S,A,3,00007276,I-1,1,7,010201
2302,010201A311,P.S. NARANJOS,36,02,34,S,A,3,00007300,I-1,1,7,010201
2303,010201A313,P.S. CASUAL,36,02,34,S,A,3,00007759,I-1,1,7,010201
15798,010201A314,P.S AGUSTO WONG LOPEZ,36,02,34,S,A,3,00035185,I-2,1,7,010201
2304,010201C101,HOSPITAL HEROES DEL CENEPA - ESSALUD,36,02,59,S,C,1,00009068,II-1,1,2,010201
9150,010201D201,POLICLINICO PNP BAGUA GRANDE,36,03,19,N,D,2,00018106,I-3,1,5,010701
2305,010201D301,P.S. SANIDAD PNP,36,02,34,S,D,3,00012954,I-2,1,5,010201
10808,010201X204,CONSULTORIOS MEDICOS ESPECIALIZADOS PASTEUR S.R.L.,36,02,34,N,X,2,00020374,I-3,1,10,010201
10950,010201X205,LABORATORIO CLÍNICO SAN CAMILO,36,02,34,N,X,2,00027441,S/C,1,10,010201
9908,010201X301,CLINICA AMAZONAS,36,02,34,N,X,3,00025702,I-3,2,10,010201
15801,010201X303,POLICLINICO MEDIC SALUD,36,02,34,N,X,3,00030744,I-3,1,10,010201
15804,010201X304,POLICLINICO SAN JUAN,36,02,34,N,X,3,00027439,I-2,1,10,010201
2306,010202A201,C.S. ARAMANGO,36,02,27,S,A,2,00005053,I-3,1,7,010202
2333,010202A202,C.S. EL MUYO,36,02,36,S,A,2,00005056,I-3,1,7,010202
2307,010202A203,C.S. EL PORVENIR DE ARAMANGO,36,02,37,S,A,2,00005057,I-3,1,7,010202
2308,010202A301,P.S. MIRAFLORES DE ARAMANGO,36,02,27,S,A,3,00005054,I-1,1,7,010202
2309,010202A302,P.S. COPALLIN DE ARAMANGO,36,02,37,S,A,3,00005055,I-2,1,7,010202
2310,010202A305,P.S. NUMPARKET,36,02,27,S,A,3,00005058,I-2,1,7,010202
2311,010202A306,P.S. TUTUMBEROS,36,02,27,S,A,3,00005059,I-2,1,7,010202
2312,010202A307,P.S. LA LIBERTAD,36,02,36,S,A,3,00005060,I-1,1,7,010202
2313,010202A308,P.S. SHAIM,36,02,27,S,A,3,00005061,I-1,1,7,010202
2314,010202A309,P.S. ZAPOTAL,36,02,36,S,A,3,00005062,I-1,1,7,010202
2315,010202A310,P.S. SAN JUAN DE DIOS,36,02,36,S,A,3,00007727,I-1,1,7,010202
2316,010202A311,P.S. CHINGANZA,36,02,27,S,A,3,00007008,I-1,1,7,010202
2317,010202A312,P.S. MONTENEGRO,36,02,27,S,A,3,00007009,I-1,1,7,010202
2318,010202A313,P.S. CAMPO BONITO,36,02,37,S,A,3,00007010,I-1,1,7,010202
2319,010202A314,P.S. SELVA VERDE,36,02,27,S,A,3,00007227,I-1,1,7,010202
2320,010202A315,P.S. NAJEM,36,02,27,S,A,3,00007228,I-1,1,7,010202
2321,010202A316,P.S. SANTA CLARA,36,02,37,S,A,3,00007229,I-1,1,7,010202
2322,010202A317,P.S. GUAYAQUIL,36,02,27,S,A,3,00007263,I-1,1,7,010202
2323,010202A318,P.S. EL CEDRON,36,02,27,S,A,3,00007264,I-1,1,7,010202
2324,010203A201,C.S. COPALLIN,36,02,25,S,A,2,00005063,I-3,1,7,010203
2325,010203A301,P.S. PAN DE AZUCAR,36,02,25,S,A,3,00005064,I-1,1,7,010203
2326,010203A302,P.S. CHONZA LAGUNA,36,02,25,S,A,3,00005065,I-1,1,7,010203
2327,010203A303,P.S. LLUHUANA,36,02,25,S,A,3,00007004,I-2,1,7,010203
2328,010203A304,P.S. SANTA CRUZ DE MOROCHAL,36,02,25,S,A,3,00007005,I-1,1,7,010203
2329,010203A305,P.S. ALENYA,36,02,34,S,A,3,00007299,I-1,1,7,010203
2330,010204A201,C.S. EL PARCO,36,02,34,S,A,2,00005193,I-3,1,7,010204
2331,010204A310,P.S. TOLOPAMPA,36,02,34,S,A,3,00007262,I-1,1,7,010204
2332,010205A201,C.S. IMAZA,36,02,29,S,A,2,00005070,I-3,1,7,010205
2334,010205A202,C.S. CHIRIACO,36,02,28,S,A,2,00005084,I-3,1,7,010205
2335,010205A203,C.S. CHIPE,36,02,38,S,A,2,00005071,I-3,1,7,010205
2336,010205A204,C.S. TUPAC AMARU I,36,02,39,S,A,2,00005075,I-3,1,7,010205
2337,010205A205,C.S. WAYAMPIAK,36,02,33,S,A,2,00005081,I-3,1,7,010205
2338,010205A301,P.S. SHUSHUG,36,02,28,S,A,3,00005085,I-1,1,7,010205
2339,010205A303,P.S. KUSU,36,02,38,S,A,3,00005072,I-1,1,7,010205
2340,010205A304,P.S. NUMPATKAIM,36,02,38,S,A,3,00005073,I-1,1,7,010205
2341,010205A305,P.S. WAWAIM,36,02,28,S,A,3,00005086,I-1,1,7,010205
2342,010205A306,P.S CHICAIS-JEMPEST,36,02,38,S,A,3,00005074,I-1,1,7,010205
2343,010205A308,P.S. PAKUIT,36,02,28,S,A,3,00005087,I-1,1,7,010205
2344,010205A309,P.S. YANAT,36,02,33,S,A,3,00005076,I-1,1,7,010205
2345,010205A310,P.S. ALTO TUNTUS,36,02,33,S,A,3,00005077,I-1,1,7,010205
2346,010205A311,P.S. CHIJA,36,02,33,S,A,3,00005078,I-1,1,7,010205
2347,010205A312,P.S. UUT,36,02,29,S,A,3,00005079,I-1,1,7,010205
2348,010205A313,P.S. SAMAREN-YUPICUSA,36,02,28,S,A,3,00005088,I-2,1,7,010205
2349,010205A314,P.S. WAWAS,36,02,28,S,A,3,00005089,I-2,1,7,010205
2350,010205A315,P.S. SIJIAK,36,02,33,S,A,3,00005080,I-1,1,7,010205
2351,010205A317,P.S. WAJUYAT,36,02,29,S,A,3,00005082,I-2,1,7,010205
2352,010205A318,P.S. BICHANAK,36,02,39,S,A,3,00005083,I-1,1,7,010205
2353,010205A319,P.S. SHIMPUENTS,36,02,28,S,A,3,00005090,I-1,1,7,010205
2354,010205A320,P.S. NAYUMPIN,36,02,28,S,A,3,00005091,I-1,1,7,010205
2355,010205A321,P.S. KUNCHIN,36,02,29,S,A,3,00005194,I-2,1,7,010205
2356,010205A322,P.S. CENTRO WAWIK,36,02,39,S,A,3,00006719,I-1,1,7,010205
2357,010205A323,P.S. WAWICO,36,02,39,S,A,3,00006986,I-1,1,7,010205
2360,010205A324,P.S. WANTSA,36,02,29,S,A,3,00007002,I-1,1,7,010205
2358,010205A325,P.S. NAZARETH,36,02,28,S,A,3,00007003,I-1,1,7,010205
2359,010205A326,P.S. SUKUTIN,36,02,28,S,A,3,00007001,I-1,1,7,010205
2361,010205A327,P.S. SAN RAFAEL,36,02,28,S,A,3,00007136,I-1,1,7,010205
2362,010205A328,P.S. DURAND,36,02,28,S,A,3,00014208,I-1,1,7,010205
2364,010205A329,P.S. TENASHNUM,36,02,29,S,A,3,00007231,I-1,1,7,010205
2366,010205A330,P.S. NUEVA VIDA,36,02,38,S,A,3,00007232,I-1,1,7,010205
2367,010205A331,P.S. SAN PABLO,36,02,38,S,A,3,00007233,I-1,1,7,010205
2368,010205A332,P.S. LISTRA,36,02,38,S,A,3,00007234,I-1,1,7,010205
2369,010205A333,P.S. MESONES MURO,36,02,29,S,A,3,00007435,I-2,1,7,010205
2370,010205A334,P.S. KUSU GRANDE,36,02,29,S,A,3,00014209,I-1,1,7,010205
2363,010205A335,P.S. YAMAYAKAT,36,02,29,S,A,3,00007230,I-1,1,7,010205
2365,010205A336,P.S. SAN RAMON,36,02,28,S,A,3,00012774,I-1,1,7,010205
2371,010205A337,P.S. NUEVO BELEN,36,02,39,S,A,3,00014210,I-1,1,7,010205
2372,010205C301,CAP1. ESSALUD IMAZA,36,02,28,N,C,3,00021230,I-1,1,2,010205
10664,010205D201,ENFERMERÍA COMPAÑÍA DESMINADO N° 116 - BAGUA GRANDE,36,03,19,N,D,2,00024196,I-1,1,3,010701
11555,010205D302,ENFERMERÍA UNIDAD MILITAR DE ASENTAMIENTO RURAL N° 01 - MESONES MURO,36,02,29,N,D,3,00024197,I-2,1,3,010205
2373,010206A201,C.S. LA PECA,36,02,26,S,A,2,00005049,I-3,1,7,010206
2374,010206A301,P.S. CHONZA ALTA,36,02,26,S,A,3,00005050,I-1,1,7,010206
2375,010206A303,P.S. EL TRIUNFO,36,02,26,S,A,3,00005051,I-1,1,7,010206
2376,010206A304,P.S. SAN ISIDRO,36,02,34,S,A,3,00005046,I-1,1,7,010206
2377,010206A306,P.S. ARRAYAN,36,02,26,S,A,3,00005052,I-1,1,7,010206
2378,010206A308,P.S. SAN FRANCISCO,36,02,26,S,A,3,00007006,I-1,1,7,010206
2379,010206A312,P.S. UNION PROGRESO,36,02,34,S,A,3,00007758,I-1,1,7,010204
2155,010301A201,C.S. JUMBILLA,36,01,04,S,A,2,00004917,I-3,1,7,010301
3233,010301A301,P.S. LAS PALMAS,36,01,04,S,A,3,00009679,I-1,1,7,010301
2156,010302A301,P.S. CHISQUILLA,36,01,04,S,A,3,00004915,I-1,1,7,010302
2157,010303A301,P.S. CHURUJA,36,01,02,S,A,3,00004919,I-2,1,7,010303
2158,010304A301,P.S. COROSHA,36,01,04,S,A,3,00004916,I-2,1,7,010304
2159,010305A301,P.S. CUISPES,36,01,02,S,A,3,00004920,I-1,1,7,010305
2160,010305A302,P.S. FANRRE,36,01,02,S,A,3,00004921,I-1,1,7,010305
2161,010306A201,C.S. POMACOCHAS,36,01,03,S,A,2,00004932,I-4,1,7,010306
2162,010306A301,P.S. CARRERA,36,01,02,S,A,3,00004933,I-1,1,7,010306
2163,010306A302,P.S. GUALULO,36,01,03,S,A,3,00004934,I-1,1,7,010306
9097,010306A303,P.S. SAN JOSE DE POMACOCHAS,36,01,03,S,A,3,00021934,I-1,1,7,010306
2164,010307A201,C.S. PEDRO RUIZ GALLO,36,01,02,S,A,2,00004922,I-4,1,7,010307
2165,010307A301,P.S. CHOSGON,36,01,02,S,A,3,00004923,I-1,1,7,010307
2166,010307A302,P.S. SAN JERONIMO,36,01,02,S,A,3,00004924,I-1,1,7,010307
2167,010307A303,P.S. LA UNION,36,01,02,S,A,3,00004925,I-1,2,7,010307
2168,010307A304,P.S. DUNIA CHICO,36,01,02,S,A,3,00007261,I-1,1,7,010307
3234,010307C307,CAP1 PEDRO RUIZ GALLO,36,01,55,S,C,3,00009072,I-2,1,2,010307
11547,010307D301,ENFERMERÍA DEL BATALLÓN DE INGENIERÍA DE CONSTRUCCIÓN “MORRO SOLAR” N° 01,36,01,02,N,D,3,00024194,I-2,1,3,010307
2169,010308A301,P.S. RECTA,36,01,04,S,A,3,00004926,I-1,1,7,010308
2170,010309A301,P.S. SAN CARLOS,36,01,02,S,A,3,00004927,I-1,1,7,010309
2171,010310A301,P.S. SHISPASBAMBA,36,01,02,S,A,3,00004935,I-2,1,7,010310
2172,010310A302,P.S. LA FLORIDA DE SHIPASBAMBA,36,01,02,S,A,3,00007051,I-1,1,7,010310
2173,010310A303,P.S. COMBOCA,36,01,02,S,A,3,00007260,I-1,1,7,010310
15795,010310A304,P.S NUEVO CUMBA,36,01,02,S,A,3,00034934,I-1,1,7,010310
2174,010311A301,P.S. SAN PABLO,36,01,02,S,A,3,00004928,I-1,1,7,010311
2175,010311A302,P.S. COCACHIMBA,36,01,02,S,A,3,00004929,I-1,1,7,010311
2176,010311A303,P.S. MATIAZA RIMACHI,36,01,02,S,A,3,00004930,I-1,1,7,010311
2177,010311A304,P.S. LA COCA,36,01,02,S,A,3,00007052,I-1,1,7,010311
2178,010312A301,P.S. PROGRESO,36,01,03,S,A,3,00004936,I-2,1,7,010312
2179,010312A302,P.S. BUENOS AIRES,36,01,03,S,A,3,00004937,I-2,1,7,010312
2180,010312A303,P.S. YAMBRASBAMBA,36,01,03,S,A,3,00004938,I-1,1,7,010312
2181,010312A304,P.S. LA ESPERANZA,36,01,03,S,A,3,00004939,I-1,1,7,010312
2182,010312A305,P.S. LA FLORIDA,36,01,03,S,A,3,00007055,I-1,1,7,010312
2183,010312A306,P.S. PERLA DEL IMAZA,36,01,03,N,A,3,00007056,I-1,1,7,010312
2184,010312A307,P.S. CHAYUYACU,36,01,03,N,A,3,00007378,I-1,1,7,010312
2185,010312A308,P.S. VILLA HERMOSA,36,01,03,N,A,3,00007058,I-1,1,7,010312
12044,010312A312,P.S. SAN JOSE DE YAMBRASBAMBA,36,01,03,N,A,3,00030972,I-1,1,7,010312
2490,010401A101,HOSPITAL DE APO I SANTA MARIA DE NIEVA,36,04,47,S,A,1,00005145,II-1,1,7,010401
2491,010401A201,C.S. NIEVA,36,04,30,S,A,2,00007134,I-3,1,7,010401
2492,010401A202,C.S. KIGKIS,36,04,35,S,A,2,00005149,I-3,1,7,010401
2493,010401A203,C.S. PUTUYAKAT,36,04,52,S,A,2,00005147,I-3,1,7,010401
9609,010401A204,P.S. ALTO PAJACUSA,36,04,30,S,A,2,00023137,I-1,1,7,010401
2494,010401A301,P.S. IPAKUMA,36,04,35,S,A,3,00005146,I-1,1,7,010401
8891,010401A302,P.S. PAANTAN ENTSA,36,04,31,S,A,3,00023145,I-1,1,1,010402
2495,010401A303,C.S. PAGKINTSA,36,04,30,S,A,2,00005148,I-1,1,7,010401
8892,010401A304,P.S. BASHUTAK,36,04,30,S,A,3,00023139,I-1,1,1,010401
2496,010401A305,P.S. NAPURUKA,36,04,30,S,A,3,00005150,I-1,1,7,010401
8893,010401A306,P.S. ATSAKUS,36,04,30,S,A,3,00023138,I-1,1,1,010401
2497,010401A307,P.S. CACHIACO,36,04,35,S,A,3,00005152,I-1,1,7,010401
2498,010401A308,P.S. PUMPUSHAK,36,04,30,S,A,3,00005153,I-1,1,7,010401
2499,010401A309,P.S. YUMIGKUS,36,04,30,S,A,3,00005154,I-2,1,7,010401
2500,010401A310,C.S. URAKUSA,36,04,30,S,A,2,00005155,I-2,1,7,010401
2501,010401A311,P.S. ALTO CANAMPA,36,04,30,S,A,3,00005156,I-1,1,7,010401
2502,010401A312,P.S. NUEVO SEASMI,36,04,30,S,A,3,00005157,I-1,1,7,010401
2503,010401A313,P.S. CIRO ALEGRIA,36,04,30,S,A,3,00005158,I-1,1,7,010401
2504,010401A314,P.S. KAYAMAS,36,04,35,S,A,3,00005159,I-1,1,7,010401
2505,010401A315,P.S. CENTRO TUNDUZA,36,04,30,S,A,3,00005160,I-1,1,7,010401
2506,010401A316,P.S. PAANTAN,36,04,52,S,A,3,00007202,I-1,1,7,010401
2507,010401A317,P.S. SAASA,36,04,30,S,A,3,00005161,I-1,1,7,010401
2508,010401A318,C.S. TAYUNSA,36,04,52,S,A,2,00006922,I-1,1,7,010401
2509,010401A319,P.S. KUSUMATAK,36,04,52,S,A,3,00007328,I-1,1,7,010401
2510,010401A320,P.S. ALAN GARCIA,36,04,52,S,A,3,00007330,I-1,1,7,010401
2511,010401A321,P.S. NUMPATKAIM,36,04,35,S,A,3,00007331,I-1,1,7,010401
2512,010401A322,P.S. BAJO PUPUNTAS,36,04,30,S,A,3,00007376,I-1,1,7,010401
2513,010401A323,P.S. CHORROS,36,04,52,S,A,3,00010302,I-1,1,7,010401
8894,010401A324,P.S. NUEVA UNIDA,36,04,52,S,A,3,00023136,I-1,1,1,010401
11275,010401A328,P.S. ESCUELA JAPAIME,36,04,30,S,A,2,00030335,I-1,1,1,010401
11279,010401A329,P.S. AJACHIN,36,04,30,S,A,2,00030333,I-1,1,1,010401
2514,010401C201,CAP2 ESSALUD NIEVA,36,04,30,S,C,2,00009070,I-3,1,2,010401
9725,010401D326,ENFERMERÍA BATALLÓN DE INFANTERÍA SELVA N° 32 - CIRO ALEGRÍA,36,04,30,N,A,3,00024193,I-2,1,7,010401
11255,010401D327,ENFERMERIA UMAR N° 1 - URAKUZA,36,04,30,N,A,2,00028370,I-2,1,4,010401
9320,010401X201,CENTRO DE SALUD MEDICO COMUNITARIO EL BUEN VIVIR,36,04,30,N,A,2,00025389,I-3,1,7,010401
2515,010402A201,C.S. HUAMPAMI,36,04,31,S,A,2,00005162,I-4,1,7,010402
2516,010402A301,P.S. KUSU PAGATA,36,04,31,S,A,3,00005163,I-1,1,7,010402
2517,010402A302,P.S. TEESH,36,04,31,S,A,3,00005164,I-1,1,7,010402
2518,010402A303,P.S. KUSU KUBAIN,36,04,31,S,A,3,00005165,I-1,1,7,010402
2519,010402A304,P.S. MAMAYAQUE,36,04,31,S,A,3,00005166,I-1,1,7,010402
2520,010402A305,P.S. ACHUIM,36,04,31,S,A,3,00005167,I-1,1,7,010402
2521,010402A306,P.S. SHAMATAK GRANDE,36,04,31,S,A,3,00005168,I-1,1,7,010402
2522,010402A307,P.S. KUSU NUMPATKAIM,36,04,31,S,A,3,00005169,I-1,1,7,010402
2523,010402A308,P.S. PAMPAENTZA,36,04,31,S,A,3,00005170,I-1,1,7,010402
2524,010402A309,P.S. BUCHIGKIM,36,04,31,S,A,3,00005171,I-1,1,7,010402
2525,010402A310,P.S. WAWAIM,36,04,31,S,A,3,00005172,I-1,1,7,010402
2526,010402A311,P.S. SHAIM,36,04,31,S,A,3,00005173,I-1,1,7,010402
2527,010402A312,P.S. TUWAGENTSA,36,04,31,S,A,3,00005174,I-1,1,7,010402
2528,010402A313,P.S. CANGA,36,04,31,S,A,3,00007724,I-1,1,7,010402
8898,010402A314,P.S. KUMPIN,36,04,31,S,A,3,00023140,I-1,1,1,010402
2529,010402A315,P.S. ACHU,36,04,31,S,A,3,00007329,I-1,1,7,010402
2530,010402A316,P.S. TUTINO,36,04,31,S,A,3,00007377,I-1,1,7,010402
8899,010402A317,P.S. WICHIM,36,04,31,S,A,3,00023141,I-1,1,1,010402
8900,010402A318,P.S. KUYUMATAK,36,04,31,S,A,3,00023142,I-1,1,1,010402
9642,010402D301,ENFERMERÍA BATALLÓN DE INFANTERÍA SELVA N° 69 - CHAVEZ VALDIVIA,36,04,31,N,D,3,00024192,I-2,1,3,010402
2531,010403A201,C.S. GALILEA,36,04,32,S,A,2,00005175,I-3,1,7,010403
9610,010403A202,C.S. CANDUNGOS,36,04,53,S,A,2,00005180,I-2,1,7,010403
2532,010403A301,P.S. GUAYABAL,36,04,32,S,A,3,00005176,I-1,1,7,010403
2533,010403A302,P.S. CHAPIZA,36,04,32,S,A,3,00005177,I-1,1,7,010403
2534,010403A303,P.S. YUTUPIS,36,04,32,S,A,3,00005178,I-1,1,7,010403
2535,010403A304,P.S. VILLA GONZALO,36,04,32,S,A,3,00005179,I-1,1,7,010403
2536,010403A305,P.S. AYAMBIS,36,04,53,S,A,3,00007728,I-1,1,7,010403
2538,010403A307,P.S. CHINGANAZA,36,04,32,S,A,3,00005181,I-1,1,7,010403
2539,010403A308,P.S. YUJAGKIM,36,04,32,S,A,3,00005182,I-1,1,7,010403
2540,010403A309,P.S. SOLEDAD,36,04,53,S,A,3,00005183,I-1,1,7,010403
2541,010403A310,P.S. BELEN,36,04,32,S,A,3,00005184,I-1,1,7,010403
2542,010403A311,P.S. CUCUASA,36,04,53,S,A,3,00005185,I-1,1,7,010403
2543,010403A312,P.S. PAPAYACU,36,04,53,S,A,3,00005186,I-1,1,7,010403
2544,010403A313,P.S. SAN RAFAEL,36,04,32,S,A,3,00005187,I-2,1,7,010403
2545,010403A314,P.S. CATERPIZA,36,04,32,S,A,3,00005188,I-1,1,7,010403
2546,010403A315,P.S. NAUTA,36,04,32,S,A,3,00007203,I-1,1,7,010403
2547,010403A316,P.S. HUABAL,36,04,32,S,A,3,00005190,I-1,1,7,010403
2548,010403A317,P.S. AMPAMA,36,04,53,S,A,3,00005192,I-1,1,7,010403
2549,010403A318,P.S. ALTO YUTUPIS,36,04,32,S,A,3,00005189,I-1,1,7,010403
2550,010403A319,P.S. PASHKUSH,36,04,53,S,A,3,00006663,I-1,1,7,010403
2551,010403A320,P.S. AITAN,36,04,32,S,A,3,00005191,I-1,1,7,010403
